,uniqueid,year,treat,returnyear,groupid,doctoral_graduation_year,post,treat_post,gender,cohort,discipline,bachelor_university,doctoral_university,region_bf_rcrt,doc_region,num_of_pub,q12_num,q1_num,top10_num,fa_pub,fa_q12pub,fa_q1pub,fa_top10pub,la_pub,la_q12pub,la_q1pub,la_top10pub,teamsize,teamsize_nlg,grant,grant_nlg,pi,alumni,recruit_institution,recruit_type,phd_overall_rank,phd_field_rank,bc_overall_rank,recruit_position,top10_productivity,year_index,counterfactual_num_of_pub,counterfactual_top10_num,counterfactual_fa_pub,counterfactual_fa_q1pub,counterfactual_la_pub,counterfactual_la_q1pub
48,0_5,2009,0,2011,15,2006,0,0,Male,1,PHYSICS AND MATHEMATICS,Nanjing University,Rutgers University,,USA,1.0,1,1,1.0,1.0,1,1.0,1,0.0,0,0.0,0,0,0,0.0,0.0,,0,,,95,240,23.0,,,-2,,,,,,
49,0_5,2011,0,2011,15,2006,0,0,Male,1,PHYSICS AND MATHEMATICS,Nanjing University,Rutgers University,,USA,1.0,1,1,1.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,,0,,,95,240,23.0,,,0,,,,,,
50,0_5,2014,0,2011,15,2006,1,0,Male,1,PHYSICS AND MATHEMATICS,Nanjing University,Rutgers University,,USA,1.0,1,1,1.0,0.0,0,0.0,0,1.0,1,1.0,1,1,1,0.0,0.0,,0,,,95,240,23.0,,,3,,,,,,
51,0_5,2013,0,2011,15,2006,1,0,Male,1,PHYSICS AND MATHEMATICS,Nanjing University,Rutgers University,,USA,4.0,4,4,0.0,0.0,0,0.0,0,2.0,2,2.0,0,2,1,0.0,0.0,,0,,,95,240,23.0,,,2,,,,,,
52,0_5,2007,0,2011,15,2006,0,0,Male,1,PHYSICS AND MATHEMATICS,Nanjing University,Rutgers University,,USA,3.0,3,3,2.0,1.0,1,1.0,1,0.0,0,0.0,0,0,0,0.0,0.0,,0,,,95,240,23.0,,,-4,,,,,,
53,0_5,2016,0,2011,15,2006,1,0,Male,1,PHYSICS AND MATHEMATICS,Nanjing University,Rutgers University,,USA,3.0,2,2,1.0,0.0,0,0.0,0,1.0,0,0.0,0,0,1,0.0,63333.332,,0,,,95,240,23.0,,,5,,,,,,
54,0_5,2019,0,2011,15,2006,1,0,Male,1,PHYSICS AND MATHEMATICS,Nanjing University,Rutgers University,,USA,6.0,6,3,3.0,0.0,0,0.0,0,4.0,4,2.0,2,6,1,63333.332,63333.332,,0,,,95,240,23.0,,,8,,,,,,
55,0_5,2012,0,2011,15,2006,0,0,Male,1,PHYSICS AND MATHEMATICS,Nanjing University,Rutgers University,,USA,2.0,2,2,0.0,1.0,1,1.0,0,0.0,0,0.0,0,0,2,0.0,0.0,,0,,,95,240,23.0,,,1,,,,,,
56,0_5,2018,0,2011,15,2006,1,0,Male,1,PHYSICS AND MATHEMATICS,Nanjing University,Rutgers University,,USA,5.0,5,1,1.0,0.0,0,0.0,0,4.0,4,1.0,1,10,6,63333.332,63333.332,,0,,,95,240,23.0,,,7,,,,,,
57,0_5,2008,0,2011,15,2006,0,0,Male,1,PHYSICS AND MATHEMATICS,Nanjing University,Rutgers University,,USA,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,,0,,,95,240,23.0,,,-3,,,,,,
58,0_5,2010,0,2011,15,2006,0,0,Male,1,PHYSICS AND MATHEMATICS,Nanjing University,Rutgers University,,USA,2.0,2,2,0.0,2.0,2,2.0,0,0.0,0,0.0,0,0,0,0.0,0.0,,0,,,95,240,23.0,,,-1,,,,,,
59,0_5,2017,0,2011,15,2006,1,0,Male,1,PHYSICS AND MATHEMATICS,Nanjing University,Rutgers University,,USA,3.0,3,3,2.0,0.0,0,0.0,0,1.0,1,1.0,1,1,10,0.0,63333.332,,0,,,95,240,23.0,,,6,,,,,,
60,0_5,2015,0,2011,15,2006,1,0,Male,1,PHYSICS AND MATHEMATICS,Nanjing University,Rutgers University,,USA,2.0,2,2,0.0,0.0,0,0.0,0,1.0,1,1.0,0,1,0,0.0,0.0,,0,,,95,240,23.0,,,4,,,,,,
61,1_15,2016,1,2011,15,2006,1,1,Male,1,PHYSICS AND MATHEMATICS,Huazhong University of Science and Technology,Rutgers University,USA,USA,2.0,2,1,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,584941.81,300827.28,0.0,1,Peking University,T2,95,240,6.0,Associate Professor,0.0,5,1.762384711131419,0.6288482596120195,0.12723489083102985,0.1553672031677429,0.5827192930026608,0.47809336307480843
62,1_15,2011,1,2011,15,2006,0,0,Male,1,PHYSICS AND MATHEMATICS,Huazhong University of Science and Technology,Rutgers University,USA,USA,2.0,2,2,1.0,2.0,2,2.0,1,0.0,0,0.0,0,0,0,0.0,0.0,0.0,1,Peking University,T2,95,240,6.0,Associate Professor,0.0,0,0.37578967281042663,0.0,0.5578426066684081,0.5488625253228421,0.0,0.0
63,1_15,2012,1,2011,15,2006,0,0,Male,1,PHYSICS AND MATHEMATICS,Huazhong University of Science and Technology,Rutgers University,USA,USA,1.0,1,1,0.0,1.0,1,1.0,0,0.0,0,0.0,0,0,0,0.0,655246.56,0.0,1,Peking University,T2,95,240,6.0,Associate Professor,0.0,1,0.726329067086228,0.11607348401512374,0.5189196108364409,0.48452187705662686,0.0,0.0
64,1_15,2015,1,2011,15,2006,1,1,Male,1,PHYSICS AND MATHEMATICS,Huazhong University of Science and Technology,Rutgers University,USA,USA,2.0,1,1,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,602772.69,309997.41,0.0,1,Peking University,T2,95,240,6.0,Associate Professor,0.0,4,1.2058591618710985,0.22717391477750049,0.14577124393022495,0.19262210011759598,0.21164793010715188,0.15695073549469585
65,1_15,2014,1,2011,15,2006,1,1,Male,1,PHYSICS AND MATHEMATICS,Huazhong University of Science and Technology,Rutgers University,USA,USA,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,266028.19,620732.38,0.0,1,Peking University,T2,95,240,6.0,Associate Professor,0.0,3,0.7808703047288551,0.0596735571085969,0.24010199237231794,0.2899425754687657,0.0,0.0
66,1_15,2007,1,2011,15,2006,0,0,Male,1,PHYSICS AND MATHEMATICS,Huazhong University of Science and Technology,Rutgers University,USA,USA,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,1,Peking University,T2,95,240,6.0,Associate Professor,0.0,-4,0.0,0.0,0.6636257797916507,0.5673817478510949,0.0,0.0
67,1_15,2019,1,2011,15,2006,1,1,Male,1,PHYSICS AND MATHEMATICS,Huazhong University of Science and Technology,Rutgers University,USA,USA,4.0,3,3,1.0,0.0,0,0.0,0,2.0,1,1.0,0,3,0,285171.09,47528.516,0.0,1,Peking University,T2,95,240,6.0,Associate Professor,0.0,8,2.967536316775082,1.128127397925113,0.05513239941260867,0.09117481431479538,1.2014194542637002,0.8795412742599175
68,1_15,2013,1,2011,15,2006,1,1,Male,1,PHYSICS AND MATHEMATICS,Huazhong University of Science and Technology,Rutgers University,USA,USA,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,636826.69,0.0,1,Peking University,T2,95,240,6.0,Associate Professor,0.0,2,0.24736626247505755,0.0,0.3828761499674382,0.4136455800197332,0.0,0.0
69,1_15,2010,1,2011,15,2006,0,0,Male,1,PHYSICS AND MATHEMATICS,Huazhong University of Science and Technology,Rutgers University,USA,USA,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,1,Peking University,T2,95,240,6.0,Associate Professor,0.0,-1,0.03088025505609926,0.0,0.5687448092158744,0.5396383921425629,0.0,0.0
70,1_15,2009,1,2011,15,2006,0,0,Male,1,PHYSICS AND MATHEMATICS,Huazhong University of Science and Technology,Rutgers University,USA,USA,1.0,1,1,1.0,1.0,1,1.0,1,0.0,0,0.0,0,0,0,0.0,0.0,0.0,1,Peking University,T2,95,240,6.0,Associate Professor,0.0,-2,0.0,0.0,0.6289832451477324,0.583528548311964,0.0,0.0
71,1_15,2018,1,2011,15,2006,1,1,Male,1,PHYSICS AND MATHEMATICS,Huazhong University of Science and Technology,Rutgers University,USA,USA,3.0,3,2,0.0,0.0,0,0.0,0,1.0,1,1.0,0,3,3,283755.03,47292.504,0.0,1,Peking University,T2,95,240,6.0,Associate Professor,0.0,7,2.643220483831796,0.9967981868647373,0.11215362215827812,0.11554675193369882,1.0161241353832051,0.7138641594153207
72,1_15,2008,1,2011,15,2006,0,0,Male,1,PHYSICS AND MATHEMATICS,Huazhong University of Science and Technology,Rutgers University,USA,USA,1.0,1,1,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,1,Peking University,T2,95,240,6.0,Associate Professor,0.0,-3,0.0,0.0,0.6543848925651443,0.5909495761269117,0.0,0.0
73,1_15,2017,1,2011,15,2006,1,1,Male,1,PHYSICS AND MATHEMATICS,Huazhong University of Science and Technology,Rutgers University,USA,USA,2.0,2,1,1.0,0.0,0,0.0,0,0.0,0,0.0,0,0,3,605481.13,286806.88,0.0,1,Peking University,T2,95,240,6.0,Associate Professor,0.0,6,2.149550834152945,0.5524522539512362,0.03966562811182145,0.08197934144700461,0.8179724755210178,0.5889862150517303
74,0_9,2010,0,2012,19,2005,0,0,Male,1,PHYSICS AND MATHEMATICS,Peking University,Duke University,,USA,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,,0,,,33,94,5.0,,,-2,,,,,,
